Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
qld,Manufacturing                             ,    Natural gas            ,,,46.1,46,60.2,60.4,61.3,62.7,64,68.4,71.7,72.6,72.6,80.9,88.5,87.7,88.7,79.8,77.6,75.2,72.1
qld,Manufacturing                             ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Electricity            ,,,52,53.1,57,57.6,59.9,60.9,59.2,58.4,58.9,59.1,59.8,60.8,61.6,61.4,58.2,57.9,54,50.8,49.6
qld,Manufacturing                             ,    Liquid/gas Biofuels               ,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.8,0.3,0.2,0.3,0.4,0.4,0.3,0.4
qld,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
